old_name,keep_name,confidence,note
Fwaz Altryes,Fawaz Al Terais,مؤكد,نفس player_id (فواز الطريس)
G. Ilenikhena,George Ilenikhena,مؤكد,نفس player_id + الصيغ متوافقة (جورج إيلينيكينا)
G. Cimirot,Gojko Cimirot,مؤكد,نفس player_id + الصيغ متوافقة (جويكو سيميروت)
H. Al Ghamdi,Hamed Al Ghamdi,مؤكد,نفس player_id + الصيغ متوافقة (حامد الغامدي)
H. Al Ali,Hassan Al Ali,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (حسن العلي) [سلسلة عبر Hassan Hashim Al-Ali]
Hassan Rabea,Hassan Rubayyi,مؤكد,نفس player_id (حسن ربيع)
H. Al-Eissa,Hussain Al Eisa,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (حسين العيسى) [سلسلة عبر Hussain Al Eissa]
Hussain Ali Alnwaiqi,Hussain Ali Alnowaiqi,مؤكد,نفس player_id + الصيغ متوافقة (حسين النويقي)
Ebrahim Alshuyl,Ibrahim Al Shuayl,مؤكد,نفس player_id (إبراهيم الشعيل) [سلسلة عبر Ibrahim Al Shuail]
Ibrahim Al-Sheail,Ibrahim Al Shuayl,مؤكد,نفس player_id + الصيغ متوافقة (إبراهيم الشعيل) [سلسلة عبر Ibrahim Al Shuail]
I. Kandouss,Ismael Kandouss,مؤكد,نفس player_id + الصيغ متوافقة (إسماعيل قندوس)
J. Seoane,Jaime Seoane,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (خايمي سيواني)
J. Harkass,Jamal Harkass,مؤكد,نفس player_id + الصيغ متوافقة (جمال حركاس)
J. Thakri,Jehad Thakri,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (جهاد ذكري)
Jehad Thikri,Jehad Thakri,مؤكد,نفس player_id + الصيغ متوافقة (جهاد ذكري)
J. Escobar,Josen David Escobar del Duca,مؤكد,نفس player_id (ديفيد إسكوبار)
J. Cozzani,Juan Cozzani,مؤكد,نفس player_id + الصيغ متوافقة (خوان كوزاني)
J. Kanon,Jérémie Kanon,مؤكد,نفس player_id + الصيغ متوافقة (جيريمي كانون)
Rosier Loreintz,Loreintz Rosier,مؤكد,نفس player_id (لورينتز روزيه)
L. Haraslin,Lukáš Haraslín,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (لوكاس هاراسلين)
M. Abdullah,Majed Abdullah,مؤكد,نفس player_id + الصيغ متوافقة (ماجد عبدالله)
M. Dugandžić,Marko Dugandžić,مؤكد,نفس player_id + الصيغ متوافقة (ماركو دوغاندزيتش)
Mshari Sanyoor,Meshari Sunyur,مؤكد,نفس player_id (مشاري سنيور)
M. Al Ghamdi,Mohamed Al-Ghamdi,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد الغامدي)
M. Al Salkhadi,Mohammad Alsalkhadi,مؤكد,نفس player_id (محمد السلخدي)
Mohammed Alkhaibari,Mohammed Al Khaibari,مؤكد,نفس player_id (محمد الخيبري)
Mohammed Al-Konaideri,Mohammed Al Kunaydiri,مؤكد,نفس player_id (محمد الكنيدري)
Mohammed Al-Thain,Mohammed Al Thani,مؤكد,نفس player_id (محمد الثاني)
M. Al Yami,Mohammed Al Yami,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد اليامي)
M. Al Sahihi,Mohammed Al-Sahihi,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد السحيحي)
Petros,Mohammed Petros,مؤكد,نفس player_id + الصيغ متوافقة (بيتروس)
Murad Khadhari,Mourad Khodari,مؤكد,نفس player_id (مراد خضري)
M. Sembene,Moustapha Sémbène,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (مصطفى سيمبيني)
M. Badamosi,Muhammed Badammosi,مؤكد,نفس player_id + الصيغ متوافقة (محمد باداموسي)
Mohanad Alqaydhi,Muhannad Al Qaydhi,مؤكد,نفس player_id (مهند القيضي)
Musab Al Juwayr,Musab Fahd Aljuwayr,مؤكد,نفس player_id (مصعب الجوير)
N. Dunga,Nabil Donga,مؤكد,نفس player_id + الصيغ متوافقة (نبيل دونغا)
N. Zeze,Nathan Zeze,مؤكد,نفس player_id + الصيغ متوافقة (ناثان زيزي)
N. Al Bashri,Nawaf Al Bishri,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (نواف البشري)
Nawaf Al Qamiri,Nawaf Al Quamiri,مؤكد,نفس player_id + الصيغ متوافقة (نواف القميري)
Nawaf Alsadi,Nawaf Al Saadi,مؤكد,نفس player_id (نواف الصعدي) [سلسلة عبر Nawaf Al Sadi]
N. Gyomber,Norbert Gyömbér,مؤكد,نفس player_id + الصيغ متوافقة (نوربيرت غيومبير)
O. Al Boardi,Osama Al-Boardi,مؤكد,نفس player_id + الصيغ متوافقة (أسامة البواردي)
R. Al Najjar,Raghid Najjar,مؤكد,نفس player_id + الصيغ متوافقة (راغد النجار) [سلسلة عبر Raghed Najjar]
Saad Al Sharfa,Saad Al-Shurafa,مؤكد,نفس player_id (سعد الشرفاء)
Safwan Saud S,Safwan Saud Aljohani,مؤكد,نفس player_id (صفوان الجهني)
S. Tweh,Salomon Tweh,مؤكد,نفس player_id + الصيغ متوافقة (سالومون توي)
S. Lega,Sekou Lega,مؤكد,نفس player_id + الصيغ متوافقة (سيكو ليغا)
S. Vrontis,Stylianos Vrontis,مؤكد,نفس player_id + الصيغ متوافقة (ستيليانوس فرونتيس)
V. Misidjan,Virgil Misidjan,مؤكد,نفس player_id + الصيغ متوافقة (فيرجيل ميسيدجان)
V. van Crooij,Vito van Crooij,مؤكد,نفس player_id + الصيغ متوافقة (فيتو فان كروي)
Y. Bouzok,Yousri Bouzok,مؤكد,نفس player_id + الصيغ متوافقة (يسري بوزوق)
Y. Neyou,Yvan Neyou,مؤكد,نفس player_id + الصيغ متوافقة (إيفان نيو)
Mubarak Shanan  Hamza,Mubarak Shanan Hamza,مؤكد,مسافة مزدوجة — خطأ تنسيق لا اختلاف صيغة (6 سبتمبر)
Saleh  Al Amri,Saleh Al Amri,مؤكد,مسافة مزدوجة — خطأ تنسيق لا اختلاف صيغة (6 سبتمبر)
Rakan Al-Kaabi ,Rakan Al-Kaabi,مؤكد,مسافة زائدة بالنهاية — عمود assist_en لا player_en (6 سبتمبر)
